year,DOMESTICMIG,REGION,CENSUS2010POP,STATE,POPESTIMATE,BIRTHS,NATURALINC,INTERNATIONALMIG,DEATHS,ESTIMATESBASE
2012,26026,South Region,6346105,Tennessee,6451281,80309,19671,7918,60638,
2013,15067,South Region,6346105,Tennessee,6493432,80283,16792,9920,63491,
2014,22614,South Region,6346105,Tennessee,6540826,80453,16907,7558,63546,
2015,24065,South Region,6346105,Tennessee,6590808,81879,15775,10051,66104,
2016,31894,South Region,6346105,Tennessee,6645011,81259,14623,7649,66636,
2017,41875,South Region,6346105,Tennessee,6708794,80204,12820,9043,67384,
2018,39952,South Region,6346105,Tennessee,6770010,79474,12215,8994,67259,
2010,28034,South Region,25145561,Texas,25242679,92759,51793,15567,40966,25146114
2011,117054,South Region,25145561,Texas,25646227,381742,213652,71953,168090,
2012,143712,South Region,25145561,Texas,26089620,378109,208960,88080,169149,
2013,108849,South Region,25145561,Texas,26489464,384420,205788,83041,178632,
2014,160926,South Region,25145561,Texas,26977142,394325,213553,110340,180772,
2015,172520,South Region,25145561,Texas,27486814,402277,214385,121124,187892,
2016,122969,South Region,25145561,Texas,27937492,400968,212133,115228,188835,
2017,82801,South Region,25145561,Texas,28322717,395212,198816,103032,196396,
2018,82569,South Region,25145561,Texas,28701845,391451,190951,104976,200500,
2010,477,West Region,2763885,Utah,2775334,13752,10065,959,3687,2763891
2011,-567,West Region,2763885,Utah,2814216,51925,36917,2673,15008,
2012,-662,West Region,2763885,Utah,2853467,50448,34973,5024,15475,
2013,5657,West Region,2763885,Utah,2897927,51852,35572,3322,16280,
2014,-202,West Region,2763885,Utah,2937399,50830,34553,5315,16277,
2015,7597,West Region,2763885,Utah,2982497,51014,33767,3951,17247,
2016,19871,West Region,2763885,Utah,3042613,50623,32838,7371,17785,
2017,18359,West Region,2763885,Utah,3103118,50317,33130,8973,17187,
2018,16052,West Region,2763885,Utah,3161105,50124,32968,8967,17156,
2010,-217,Northeast Region,625741,Vermont,625880,1659,329,86,1330,625744
2011,-636,Northeast Region,625741,Vermont,626979,6053,622,1158,5431,
2012,-1722,Northeast Region,625741,Vermont,626063,6087,631,215,5456,
2013,-529,Northeast Region,625741,Vermont,626212,5978,419,321,5559,
2014,-1721,Northeast Region,625741,Vermont,625218,6118,511,291,5607,
2015,-2162,Northeast Region,625741,Vermont,625197,5969,35,2146,5934,
2016,-2213,Northeast Region,625741,Vermont,623644,5834,13,659,5821,
2017,-852,Northeast Region,625741,Vermont,624525,5679,-59,1822,5738,
2018,-62,Northeast Region,625741,Vermont,626299,5599,12,1850,5587,
2010,5493,South Region,8001024,Virginia,8023680,25715,11047,5747,14668,8001055
2011,12030,South Region,8001024,Virginia,8100469,102344,41900,22666,60444,
2012,5020,South Region,8001024,Virginia,8185229,102755,42541,36982,60214,
2013,3217,South Region,8001024,Virginia,8253053,102539,39126,25574,63413,
2014,-15804,South Region,8001024,Virginia,8312076,102589,39956,34565,62633,
2015,-25452,South Region,8001024,Virginia,8362907,103237,37737,38389,65500,
2016,-24951,South Region,8001024,Virginia,8410946,102906,37314,35636,65592,
2017,-12485,South Region,8001024,Virginia,8465207,101529,34292,32541,67237,
2018,-9831,South Region,8001024,Virginia,8517685,99570,30750,31641,68820,
2010,2304,West Region,6724540,Washington,6742902,22236,10411,5947,11825,6724540
2011,22109,West Region,6724540,Washington,6821655,86680,36830,19797,49850,
2012,12300,West Region,6724540,Washington,6892876,86718,37280,21908,49438,
2013,14660,West Region,6724540,Washington,6962906,87238,35917,19429,51321,
2014,22944,West Region,6724540,Washington,7052439,87393,36125,30640,51268,
2015,43178,West Region,6724540,Washington,7163543,88770,34912,32866,53858,
2016,66774,West Region,6724540,Washington,7294680,89747,35054,29086,54693,
2017,64662,West Region,6724540,Washington,7425432,90701,34634,31204,56067,
2018,46549,West Region,6724540,Washington,7535591,90495,32927,30557,57568,
2010,1318,South Region,1852994,West Virginia,1854214,5104,-129,82,5233,1853001
2011,1501,South Region,1852994,West Virginia,1856074,20466,-1442,1867,21908,
2012,730,South Region,1852994,West Virginia,1856764,20676,-816,890,21492,
2013,-2124,South Region,1852994,West Virginia,1853873,20926,-1327,634,22253,
2014,-4254,South Region,1852994,West Virginia,1849467,20571,-1095,996,21666,
2015,-5989,South Region,1852994,West Virginia,1841996,20088,-2694,1268,22782,
2016,-9046,South Region,1852994,West Virginia,1830929,19416,-3043,1037,22459,
2017,-10107,South Region,1852994,West Virginia,1817048,18547,-4082,332,22629,
2018,-7029,South Region,1852994,West Virginia,1805832,18010,-4541,386,22551,
2010,-3451,Midwest Region,5686986,Wisconsin,5690479,17550,5796,1173,11754,5687282
2011,-8869,Midwest Region,5686986,Wisconsin,5704755,67791,19308,4062,48483,
2012,-10190,Midwest Region,5686986,Wisconsin,5719855,67653,19765,5819,47888,
2013,-7347,Midwest Region,5686986,Wisconsin,5736952,66892,16851,7967,50041,
2014,-9988,Midwest Region,5686986,Wisconsin,5751974,67067,17750,7732,49317,
2015,-15112,Midwest Region,5686986,Wisconsin,5761406,67152,15894,9022,51258,
2016,-11395,Midwest Region,5686986,Wisconsin,5772958,66787,15427,7657,51360,
2017,-3318,Midwest Region,5686986,Wisconsin,5792051,65705,15118,7483,50587,
2018,-1011,Midwest Region,5686986,Wisconsin,5813568,64939,14656,8051,50283,
2010,-232,West Region,563626,Wyoming,564483,1994,703,171,1291,563773
2011,-47,West Region,563626,Wyoming,567224,7471,3021,-237,4450,
2012,5345,West Region,563626,Wyoming,576270,7437,3058,463,4379,
2013,2387,West Region,563626,Wyoming,582123,7515,2899,479,4616,
2014,-2528,West Region,563626,Wyoming,582548,7709,3174,-243,4535,
2015,-604,West Region,563626,Wyoming,585668,7797,2959,776,4838,
2016,-4601,West Region,563626,Wyoming,584290,7582,2785,421,4797,
2017,-8546,West Region,563626,Wyoming,578934,7150,2529,622,4621,
2018,-3686,West Region,563626,Wyoming,577737,6840,1893,597,4947,
2010,0,Puerto Rico,3725789,Puerto Rico,3721525,9603,2465,-7097,7138,3726157
2011,0,Puerto Rico,3725789,Puerto Rico,3678732,41243,10983,-53776,30260,
2012,0,Puerto Rico,3725789,Puerto Rico,3634488,40282,10540,-54784,29742,
2013,0,Puerto Rico,3725789,Puerto Rico,3593077,37871,8472,-49883,29399,
2014,0,Puerto Rico,3725789,Puerto Rico,3534874,35717,6886,-65089,28831,
2015,0,Puerto Rico,3725789,Puerto Rico,3473166,32966,3049,-64757,29917,
2016,0,Puerto Rico,3725789,Puerto Rico,3406495,30104,1607,-68278,28497,
2017,0,Puerto Rico,3725789,Puerto Rico,3325001,26226,-3306,-78188,29532,
2018,0,Puerto Rico,3725789,Puerto Rico,3195153,24322,-6449,-123399,30771,
